GeoID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,Percent_num,Percent_Category,ACS_Population,White,Black,AIAN,ASIAN,Hispanic,Other,Percent_White,Percent_Black,Percent_AIAN,Percent_Asian,Percent_Hispanic,Other_Percent
35001000107,Bernalillo,East Gateway,0.042,1,62,"2,737",0.0227,2%,6,2448,1789,73,148,28,394,16,73.08,2.98,6.05,1.14,16.09,0.65
35001000108,Bernalillo,Comanche Juan Tabo,0.074,2,111,"2,694",0.0412,4%,5,2930,1688,60,312,40,748,82,57.61,2.05,10.65,1.37,25.53,2.8
35001000109,Bernalillo,Comanche Juan Tabo,0.076,2,136,"2,568",0.053,5%,5,2443,1557,55,167,9,615,40,63.73,2.25,6.84,0.37,25.17,1.63
35001000110,Bernalillo,Comanche Juan Tabo,0.226,4,160,"3,601",0.0444,4%,5,3884,2337,26,117,66,1232,106,60.17,0.67,3.01,1.7,31.72,2.73
35001000111,Bernalillo,Comanche Juan Tabo,0.049,1,116,"2,823",0.0411,4%,5,3042,1894,81,0,114,837,116,62.26,2.66,0,3.75,27.51,3.81
35001000112,Bernalillo,East Gateway,0.101,3,60,"2,095",0.0286,3%,6,2011,1397,45,0,56,502,11,69.47,2.24,0,2.78,24.96,0.55
35001000113,Bernalillo,Comanche Juan Tabo,0.2,4,79,"3,216",0.0246,2%,6,3463,2063,160,170,18,933,119,59.57,4.62,4.91,0.52,26.94,3.44
35001000114,Bernalillo,Comanche Juan Tabo,0.197,3,132,"3,239",0.0408,4%,5,3173,1467,126,131,65,1329,55,46.23,3.97,4.13,2.05,41.88,1.74
35001000115,Bernalillo,Indian School Juan Tabo,0.227,4,151,"3,334",0.0453,5%,5,3329,1430,181,352,32,1247,87,42.96,5.44,10.57,0.96,37.46,2.61
35001000116,Bernalillo,Indian School Juan Tabo,0.051,2,105,"2,938",0.0357,4%,5,2890,1930,33,37,27,841,22,66.78,1.14,1.28,0.93,29.1,0.76
35001000117,Bernalillo,Montgomery Moon,0.157,3,76,"2,334",0.0326,3%,6,2514,1392,17,74,74,926,31,55.37,0.68,2.94,2.94,36.83,1.23
35001000118,Bernalillo,Montgomery Louisiana,0.121,3,124,"2,887",0.043,4%,5,2373,1290,71,110,68,834,0,54.36,2.99,4.64,2.87,35.15,0
35001000119,Bernalillo,Montgomery Louisiana,0.075,2,57,"1,823",0.0313,3%,6,1809,1084,79,2,38,585,21,59.92,4.37,0.11,2.1,32.34,1.16
35001000120,Bernalillo,Montgomery Moon,0.26,4,107,"2,737",0.0391,4%,5,2998,1345,94,123,74,1323,39,44.86,3.14,4.1,2.47,44.13,1.3
35001000121,Bernalillo,Indian School Pennsylvania,0.159,3,356,"5,721",0.0622,6%,4,5712,3177,488,148,75,1596,228,55.62,8.54,2.59,1.31,27.94,3.99
35001000122,Bernalillo,Indian School Pennsylvania,0.133,3,193,"4,046",0.0477,5%,5,4448,2427,56,25,182,1667,91,54.56,1.26,0.56,4.09,37.48,2.05
35001000123,Bernalillo,Indian School Pennsylvania,0.105,3,193,"5,104",0.0378,4%,5,4290,1818,190,143,46,1994,99,42.38,4.43,3.33,1.07,46.48,2.31
35001000124,Bernalillo,Indian School Pennsylvania,0.158,3,164,"3,647",0.045,4%,5,3971,1618,314,399,0,1457,183,40.75,7.91,10.05,0,36.69,4.61
35001000125,Bernalillo,East Gateway,0.042,1,102,"4,255",0.024,2%,6,3925,2238,61,47,232,1255,92,57.02,1.55,1.2,5.91,31.97,2.34
35001000126,Bernalillo,Indian School Juan Tabo,0.133,3,90,"2,900",0.031,3%,6,2480,1498,44,137,34,689,78,60.4,1.77,5.52,1.37,27.78,3.15
35001000127,Bernalillo,Indian School Juan Tabo,0.122,3,136,"2,839",0.0479,5%,5,2754,1462,1,225,13,985,68,53.09,0.04,8.17,0.47,35.77,2.47
35001000128,Bernalillo,Indian School Juan Tabo,0.258,4,151,"3,278",0.0461,5%,5,3844,1387,115,427,104,1728,83,36.08,2.99,11.11,2.71,44.95,2.16
35001000129,Bernalillo,Indian School Juan Tabo,0.161,3,200,"4,744",0.0422,4%,5,3940,1873,45,145,214,1559,104,47.54,1.14,3.68,5.43,39.57,2.64
35001000203,Bernalillo,Montgomery Louisiana,0.271,4,78,"1,988",0.0392,4%,5,1916,966,53,157,28,678,34,50.42,2.77,8.19,1.46,35.39,1.77
35001000204,Bernalillo,Comanche Carlysle,0.114,3,144,"3,314",0.0435,4%,5,3214,1083,168,124,30,1654,155,33.7,5.23,3.86,0.93,51.46,4.82
35001000205,Bernalillo,Comanche Carlysle,0.217,4,159,"3,302",0.0482,5%,5,3398,1266,45,307,80,1637,63,37.26,1.32,9.03,2.35,48.18,1.85
35001000206,Bernalillo,Montgomery Louisiana,0.08,2,92,"2,994",0.0307,3%,6,2929,1346,98,87,28,1288,82,45.95,3.35,2.97,0.96,43.97,2.8
35001000207,Bernalillo,Indian School Pennsylvania,0.139,3,138,"3,407",0.0405,4%,5,2741,1315,68,27,67,1196,68,47.98,2.48,0.99,2.44,43.63,2.48
35001000208,Bernalillo,Comanche Carlysle,0.239,4,150,"2,796",0.0536,5%,5,2787,843,9,251,92,1468,124,30.25,0.32,9.01,3.3,52.67,4.45
35001000300,Bernalillo,Lomas Girard,0.18,3,189,"6,006",0.0315,3%,6,6230,3847,116,154,152,1704,257,61.75,1.86,2.47,2.44,27.35,4.12
35001000401,Bernalillo,Lomas San Mateo,0.132,3,151,"4,430",0.0341,3%,6,4193,2483,18,147,200,1203,142,59.22,0.43,3.51,4.77,28.69,3.39
35001000402,Bernalillo,Lomas San Mateo,0.121,3,120,"3,450",0.0348,3%,6,3476,2332,60,2,102,870,110,67.09,1.73,0.06,2.93,25.03,3.16
35001000501,Bernalillo,Lomas San Mateo,0.319,5,179,"2,613",0.0685,7%,4,3158,1053,135,350,27,1497,96,33.34,4.27,11.08,0.85,47.4,3.04
35001000502,Bernalillo,Lomas San Mateo,0.255,4,210,"4,734",0.0444,4%,5,4612,2740,99,322,59,1209,183,59.41,2.15,6.98,1.28,26.21,3.97
35001000601,Bernalillo,Indian School Pennsylvania,0.17,3,200,"3,857",0.0519,5%,5,3982,1901,97,155,178,1523,128,47.74,2.44,3.89,4.47,38.25,3.21
35001000603,Bernalillo,Central Penn,0.472,6,442,"5,380",0.0822,8%,4,4469,642,251,313,54,3205,4,14.37,5.62,7,1.21,71.72,0.08
35001000604,Bernalillo,N/A,0.26,4,556,"4,371",0.1272,13%,3,4180,762,86,230,41,2930,131,18.23,2.06,5.5,0.98,70.1,3.13
